Name,Year,Delivery,Affiliation,PCA1,PCA2,PCA3,Length
  Martin van Buren,1840,w,D,-0.016356416324327643,-0.0403772566201583,-0.014009711593338414,9040
  John Tyler,1841,w,I,-0.02479127647564299,-0.039634431312572396,-0.00254667231704759,8281
  John Tyler,1842,w,I,-0.023639829479883412,-0.04384880425159974,-0.004547515575244271,8440
  John Tyler,1843,w,I,-0.021846264377735118,-0.04698037253672081,0.0008860846783606243,8071
  John Tyler,1844,w,I,-0.013075257542622952,-0.05068488458176816,-0.00040392886810318614,9355
  James Polk,1845,w,D,-0.03795645265403699,-0.055003098161806895,-0.0041486596028807495,16202
  James Polk,1846,w,D,-0.02505742816542284,-0.041418484215657685,-0.003926404815834768,18331
  James Polk,1847,w,D,-0.02977453241019755,-0.04514252708177456,-0.002872619858434061,16547
  James Polk,1848,w,D,-0.028609820783990013,-0.048221576709931394,-0.0036256473234627475,21466
  Zachary Taylor,1849,w,W,-0.02719327315184514,-0.03948566920941621,-0.01079339271546067,7684
  Millard Fillmore,1850,w,W,-0.02636902385883284,-0.04500120773357483,-0.006700071224638441,8385
  Millard Fillmore,1851,w,W,-0.029709945996269003,-0.054144669415422446,-0.006105238912716785,13362
  Millard Fillmore,1852,w,W,-0.025325930677360026,-0.04864356761749878,-0.006724420689310171,9995
  Franklin Pierce,1853,w,D,-0.035922920151746314,-0.047191635592175096,-0.0006433501021798349,9665
  Franklin Pierce,1854,w,D,-0.02890392257924284,-0.047258499133798294,-0.007899330147050588,10180
  Franklin Pierce,1855,w,D,-0.029853693222656772,-0.054392413557106584,-0.015065588973865115,11717
  Franklin Pierce,1856,w,D,-0.013257992065912784,-0.04438461866950342,-0.006984512495267742,10554
  James Buchanan,1857,w,D,-0.023487688468017656,-0.05066152926146975,-0.005508671315660606,13758
  James Buchanan,1858,w,D,-0.02212137021176771,-0.04045088073754497,-0.0061726483030795105,16462
  James Buchanan,1859,w,D,-0.015630911520592893,-0.04525917962680482,-0.0034792635288276915,12404
  James Buchanan,1860,w,D,-0.014643100189791645,-0.05375816811391778,-0.009547940647174624,14146
  Abraham Lincoln,1861,w,R,-0.029284642070705573,-0.04693941675656173,-0.008232255242736406,7057
  Abraham Lincoln,1862,w,R,-0.02997037885710417,-0.04899698825580352,-0.006595805188947429,8478
  Abraham Lincoln,1863,w,R,-0.022855965776664697,-0.062054262476425925,-0.012966578109028223,6168
